CustomerKey,NumClearedOnTime,NumPaidFully,AveragePaymentAmount,AverageNumPayments,NumInvoices,FractionFullyPaid,FractionClearedOnTime
16721154,4,11,59.68,1.0,11,1.0,0.36363636363636365
16721167,0,12,190.07500000000002,1.0,12,1.0,0.0
16721203,0,12,64.44250000000001,1.0,12,1.0,0.0
16721207,0,24,515.9754166666667,1.0,24,1.0,0.0
16721212,9,11,411.2290909090909,1.0,11,1.0,0.8181818181818182
16721215,5,10,1420.654,1.0,10,1.0,0.5
16721218,8,11,83.13818181818182,1.0,11,1.0,0.7272727272727273
16721227,5,13,130.6123076923077,1.0,13,1.0,0.38461538461538464
16721243,0,13,1001.2692307692307,1.0,13,1.0,0.0
16721248,0,12,363.4083333333333,1.0,12,1.0,0.0
16721253,0,12,466.5050000000001,1.0,12,1.0,0.0
16721254,0,12,223.6725,1.0,12,1.0,0.0
16721261,0,11,201.09454545454545,1.0,11,1.0,0.0
16721264,2,13,367.27384615384625,1.0,13,1.0,0.15384615384615385
16721276,0,24,146.90916666666666,1.0,24,1.0,0.0
16721288,18,42,284.04999999999984,1.0,42,1.0,0.42857142857142855
16721289,10,11,307.7509090909091,1.0,11,1.0,0.9090909090909091
16721291,1,13,47.658461538461545,1.0,13,1.0,0.07692307692307693
16721294,0,12,270.17416666666674,1.0,12,1.0,0.0
16721314,0,52,667.8807692307693,1.0,52,1.0,0.0
16721315,2,11,513.4272727272727,1.0,11,1.0,0.18181818181818182
16721316,10,11,880.8936363636366,1.0,11,1.0,0.9090909090909091
16721323,0,12,67.545,1.0,12,1.0,0.0
16721324,1,11,88.63727272727273,1.0,11,1.0,0.09090909090909091
16721336,6,11,47.50545454545454,1.0,11,1.0,0.5454545454545454
16721340,0,12,412.08,1.0,12,1.0,0.0
16721350,2,12,172.20333333333335,1.0,12,1.0,0.16666666666666666
16721356,7,13,27.751538461538452,1.0,13,1.0,0.5384615384615384
16721357,6,11,35.629090909090905,1.0,11,1.0,0.5454545454545454
16721362,1,13,77.17923076923077,1.0,13,1.0,0.07692307692307693
16721378,0,12,282.56916666666666,1.0,12,1.0,0.0
16721381,8,11,145.42000000000002,1.0,11,1.0,0.7272727272727273
16721401,12,12,106.33833333333332,1.0,12,1.0,1.0
16721403,6,23,855.307391304348,1.0,23,1.0,0.2608695652173913
16721411,7,12,231.03333333333333,1.0,12,1.0,0.5833333333333334
16721421,7,11,151.75181818181815,1.0,11,1.0,0.6363636363636364
16721422,0,13,87.42923076923077,1.0,13,1.0,0.0
